observation,state,year,dmargin,demwin,dwinnext,bin
502,5,1998,31.89308345,1,1,41
503,5,2000,47.06,1,1,49
504,5,2004,39.16,1,1,45
505,5,1946,-5.600365996,0,1,23
506,5,1948,6.274679303,1,1,29
507,5,1950,0.970983505,1,0,26
508,5,1954,-10.03543437,0,0,20
509,5,1956,-18.50199997,0,0,16
510,5,1958,-20.07831037,0,0,15
511,5,1960,-39.93619978,0,1,6
512,5,1964,33.42792988,1,0,42
513,5,1966,-11.76168025,0,0,20
514,5,1970,-27.648592,0,0,12
515,5,1976,-28.40389013,0,0,11
516,5,1978,-18.51303577,0,0,16
517,5,1980,-42.05487669,0,1,4
518,5,1986,42.54110157,1,1,47
519,5,1988,39.87838328,1,1,45
520,5,1994,33.84296894,1,1,42
521,5,1996,33.89900327,1,1,42
522,5,2000,36.36,1,1,44
523,5,2004,34.98,1,1,43
524,5,2006,30.96,1,1,41
525,5,1948,42.2880441,1,1,47
526,5,1954,49.60927665,1,1,50
527,5,1956,47.61354923,1,1,49
528,5,1964,30.85695505,1,1,41
529,5,1966,24.51680899,1,1,38
530,5,1970,40.78549147,1,1,46
531,5,1976,-28.7570715,0,0,11
532,5,1978,-47.46406078,0,0,2
533,5,1986,-45.12718618,0,0,3
534,5,1988,-1.729139686,0,0,25
535,5,1990,-10.16364098,0,1,20
536,5,1994,-17.13895798,0,0,17
537,5,1996,-38.25486302,0,0,6
538,5,2000,-34.38,0,0,8
539,5,2004,-41.62,0,0,5
540,5,2006,-21.16,0,0,15
541,5,1946,-18.69927645,0,0,16
542,5,1954,-42.35340059,0,0,4
543,5,1956,-41.59624875,0,0,5
544,5,1958,-31.90383017,0,0,10
545,5,1960,-40.18071592,0,0,5
546,5,1964,-35.76420248,0,0,8
547,5,1966,-46.78464234,0,0,2
548,5,1970,-39.3925339,0,0,6
549,5,1976,-34.49029624,0,0,8
550,5,1978,-32.76154101,0,0,9
551,5,1986,-45.22612393,0,0,3
552,5,1988,-43.99099052,0,0,4
553,5,1990,-25.333336,0,1,13
554,5,1994,13.39326203,1,1,32
555,5,1996,17.37608612,1,1,34
556,5,1998,21.4627862,1,1,36
557,5,2000,7,1,1,29
558,5,2004,6.8,1,1,29
559,5,1946,5.428752303,1,1,28
560,5,1948,12.56293952,1,1,32
561,5,1950,14.86138105,1,0,33
562,5,1954,-17.43663251,0,0,17
563,5,1956,-25.26715696,0,0,13
564,5,1958,-3.707325459,0,0,24
565,5,1960,-16.86989069,0,1,17
566,5,1976,37.71365583,1,1,44
567,5,1978,23.64304364,1,0,37
568,5,1980,-0.505867014,0,0,25
569,5,1986,-40.18468261,0,0,5
570,5,1988,-40.23055434,0,0,5
571,5,1990,-24.38416779,0,0,13
572,5,1994,-40.49098194,0,0,5
573,5,1996,-39.35193121,0,0,6
574,5,2000,-48.58,0,0,1
575,5,2004,-46.34,0,0,2
576,5,2006,-38.06,0,0,6
577,5,1946,-24.10958111,0,0,13
578,5,1954,-16.32452905,0,0,17
579,5,1956,-19.67829168,0,0,16
580,5,1958,-10.72640419,0,1,20
581,5,1960,2.240303159,1,1,27
582,5,1964,1.077982783,1,1,26
583,5,1966,6.914570928,1,1,29
584,5,1970,19.92046833,1,1,35
585,5,1976,-25.21711588,0,0,13
586,5,1978,-29.2703867,0,0,11
587,5,1980,-32.01587498,0,0,9
588,5,1988,-43.5554117,0,0,4
589,5,1990,-25.97925365,0,0,13
590,5,1994,-0.747818265,0,1,25
591,5,1996,4.223012924,1,1,28
592,5,1998,11.83856726,1,1,31
593,5,2000,9.02,1,0,30
594,5,2006,-41.4,0,0,5
595,5,1946,-12.58058846,0,1,19
596,5,1948,12.59166598,1,1,32
597,5,1950,2.026176453,1,1,27
598,5,1954,43.63064766,1,1,47
599,5,1956,41.88308716,1,1,46
600,5,1960,48.44245911,1,1,50
601,5,1964,-10.88960171,0,0,20
602,5,1966,-34.79607999,0,0,8
603,5,1970,-26.67938471,0,0,12
604,5,1976,20.35677731,1,1,36
605,5,1978,31.28708303,1,1,41
606,5,1980,31.73659146,1,1,41
607,5,1986,33.94892514,1,1,42
608,5,1988,30.34794629,1,1,41
609,5,1990,27.54334211,1,0,39
610,5,1994,-38.70454729,0,0,6
611,5,1996,-24.48285222,0,0,13
612,5,1998,-20.13669908,0,0,15
613,5,2000,-14.12,0,1,18
614,5,2004,29.44,1,1,40
615,5,2006,30.34,1,1,41
616,5,1954,-13.77029121,0,0,19
617,5,1956,-23.877123,0,0,14
618,5,1958,-12.7120018,0,0,19
619,5,1960,-19.46564615,0,0,16
620,5,1964,-35.87685823,0,0,8
621,5,1970,-32.66185522,0,0,9
622,5,1976,35.56147814,1,1,43
623,5,1978,30.07417023,1,1,41
624,5,1980,36.68277264,1,1,44
625,5,1988,48.49584699,1,1,50
626,5,1990,43.2779789,1,1,47
627,5,1994,1.830425858,1,1,26
628,5,1996,5.847853422,1,1,28
629,5,1998,18.82267892,1,1,35
630,5,2000,37.78,1,0,44
631,5,2004,-29.9,0,0,11
632,5,2006,-24.06,0,0,13
633,5,1954,-30.36788702,0,0,10
634,5,1956,-27.68873274,0,1,12
635,5,1958,0.223815441,1,0,26
636,5,1960,-7.116663456,0,1,22
637,5,1964,10.89292765,1,0,31
638,5,1966,-5.100414157,0,0,23
639,5,1970,-28.21208835,0,0,11
640,5,1976,49.89643395,1,1,50
641,5,1978,34.77366865,1,1,43
642,5,1980,37.60371506,1,1,44
643,5,1990,45.25663257,1,0,48
644,5,1994,-33.45434964,0,0,9
645,5,1996,-29.22432125,0,0,11
646,5,2000,-30.44,0,0,10
647,5,2004,-28.84,0,0,11
648,5,2006,-25.4,0,0,13
649,5,1954,20.19560337,1,1,36
650,5,1956,37.67139614,1,1,44
651,5,1958,44.46049631,1,1,48
652,5,1960,46.75335884,1,1,49
653,5,1964,40.78785181,1,1,46
654,5,1966,24.64731932,1,1,38
655,5,1970,45.46715617,1,1,48
656,5,1976,-31.17196262,0,0,10
657,5,1980,-46.57111168,0,1,2
658,5,1986,30.13472557,1,1,41
659,5,1988,40.68318605,1,1,46
660,5,1990,26.24519467,1,1,39
661,5,1994,30.3183645,1,1,41
662,5,1996,37.25600839,1,1,44
663,5,2004,-11.18,0,0,20
664,5,2006,-20.1,0,0,15
665,5,1954,29.50496674,1,1,40
666,5,1958,44.53531802,1,1,48
667,5,1960,33.57712924,1,1,42
668,5,1964,-3.455528617,0,0,24
669,5,1966,-30.69775403,0,0,10
670,5,1970,-36.22047901,0,0,7
671,5,1976,-9.367349744,0,0,21
672,5,1978,-2.003741264,0,0,24
673,5,1980,-4.526370764,0,1,23
674,5,1986,29.4212997,1,1,40
675,5,1988,37.90001571,1,1,44
676,5,1990,20.95927,1,0,36
677,5,1994,-10.83742082,0,0,20
678,5,1996,-7.000473142,0,0,22
679,5,1998,-4.291927814,0,1,23
680,5,2000,9.22,1,1,30
681,5,2004,30.36,1,1,41
682,5,2006,37.54,1,1,44
683,5,1954,-32.46115148,0,0,9
684,5,1956,-29.03737724,0,0,11
685,5,1958,-16.39488637,0,0,17
686,5,1960,-21.8002677,0,0,15
687,5,1964,-31.15646839,0,0,10
688,5,1966,-44.59373951,0,0,3
689,5,1970,-43.35320294,0,0,4
690,5,1994,-36.62081063,0,0,7
691,5,1996,-23.73224199,0,0,14
692,5,1998,-18.37531924,0,0,16
693,5,2000,-17.52,0,1,17
694,5,1954,-15.90005457,0,1,18
695,5,1956,3.092455864,1,1,27
696,5,1958,24.77252483,1,1,38
697,5,1960,14.10181522,1,1,33
698,5,1964,17.11978614,1,1,34
699,5,1966,2.245664597,1,1,27
700,5,1970,25.18081665,1,1,38
701,5,1994,39.71719444,1,1,45
702,5,1996,43.02312732,1,1,47
703,5,2004,36.02,1,1,44
704,5,2006,39.66,1,1,45
705,5,1954,-20.83362341,0,0,15
706,5,1956,-33.49823654,0,0,9
707,5,1958,-10.66815853,0,0,20
708,5,1960,-18.61145496,0,1,16
709,5,1964,32.60178566,1,1,42
710,5,1966,32.8186661,1,1,42
711,5,1970,38.30830157,1,1,45
712,5,1976,48.7678647,1,1,50
713,5,1978,42.83465445,1,1,47
714,5,1980,48.65235984,1,1,50
